,Basketball,CC/Track,Other,School,Sport Category
Am. Ind./AN,0,0,0,University of South Carolina Columbia,Women
Asian,0,0,1,University of South Carolina Columbia,Women
Black,7,8,9,University of South Carolina Columbia,Women
Hispanic,0,1,8,University of South Carolina Columbia,Women
Nat. Haw./PI,1,0,0,University of South Carolina Columbia,Women
US N-R,1,7,16,University of South Carolina Columbia,Women
Two or More,1,3,8,University of South Carolina Columbia,Women
Unknown,0,0,0,University of South Carolina Columbia,Women
White,1,13,103,University of South Carolina Columbia,Women
Total,11,32,145,University of South Carolina Columbia,Women
Am. Ind./AN,0,0,0,University of South Carolina Upstate,Women
Asian,0,0,0,University of South Carolina Upstate,Women
Black,2,12,6,University of South Carolina Upstate,Women
Hispanic,0,0,3,University of South Carolina Upstate,Women
Nat. Haw./PI,1,0,0,University of South Carolina Upstate,Women
US N-R,1,0,6,University of South Carolina Upstate,Women
Two or More,1,2,6,University of South Carolina Upstate,Women
Unknown,0,0,0,University of South Carolina Upstate,Women
White,9,5,60,University of South Carolina Upstate,Women
Total,14,19,81,University of South Carolina Upstate,Women
Am. Ind./AN,0,1,0,University of South Dakota,Women
Asian,0,1,1,University of South Dakota,Women
Black,0,3,5,University of South Dakota,Women
Hispanic,1,0,8,University of South Dakota,Women
Nat. Haw./PI,0,0,0,University of South Dakota,Women
US N-R,0,0,1,University of South Dakota,Women
Two or More,0,1,6,University of South Dakota,Women
Unknown,0,1,0,University of South Dakota,Women
White,12,34,100,University of South Dakota,Women
Total,13,41,121,University of South Dakota,Women
Am. Ind./AN,0,0,0,University of South Florida,Women
Asian,0,0,5,University of South Florida,Women
Black,1,16,7,University of South Florida,Women
Hispanic,1,8,36,University of South Florida,Women
Nat. Haw./PI,0,0,0,University of South Florida,Women
US N-R,11,4,29,University of South Florida,Women
Two or More,0,3,12,University of South Florida,Women
Unknown,1,0,7,University of South Florida,Women
White,1,22,174,University of South Florida,Women
Total,15,53,270,University of South Florida,Women
Am. Ind./AN,0,0,0,University of Southern California,Women
Asian,1,0,8,University of Southern California,Women
Black,10,14,9,University of Southern California,Women
Hispanic,0,2,9,University of Southern California,Women
Nat. Haw./PI,0,0,3,University of Southern California,Women
US N-R,1,5,30,University of Southern California,Women
Two or More,1,2,6,University of Southern California,Women
Unknown,0,0,2,University of Southern California,Women
White,1,2,90,University of Southern California,Women
Total,14,25,157,University of Southern California,Women
Am. Ind./AN,0,0,0,University of Tennessee Knoxville,Women
Asian,0,0,0,University of Tennessee Knoxville,Women
Black,3,2,2,University of Tennessee Knoxville,Women
Hispanic,1,0,2,University of Tennessee Knoxville,Women
Nat. Haw./PI,0,0,0,University of Tennessee Knoxville,Women
US N-R,0,0,6,University of Tennessee Knoxville,Women
Two or More,0,0,3,University of Tennessee Knoxville,Women
Unknown,0,0,0,University of Tennessee Knoxville,Women
White,0,5,24,University of Tennessee Knoxville,Women
Total,4,7,37,University of Tennessee Knoxville,Women
Am. Ind./AN,0,0,0,University of Tennessee at Chattanooga,Women
Asian,0,0,0,University of Tennessee at Chattanooga,Women
Black,7,0,1,University of Tennessee at Chattanooga,Women
Hispanic,0,1,5,University of Tennessee at Chattanooga,Women
Nat. Haw./PI,0,0,0,University of Tennessee at Chattanooga,Women
US N-R,0,0,0,University of Tennessee at Chattanooga,Women
Two or More,2,2,4,University of Tennessee at Chattanooga,Women
Unknown,0,1,0,University of Tennessee at Chattanooga,Women
White,5,12,61,University of Tennessee at Chattanooga,Women
Total,14,16,71,University of Tennessee at Chattanooga,Women
Am. Ind./AN,0,1,0,University of Tennessee at Martin,Women
Asian,0,0,0,University of Tennessee at Martin,Women
Black,3,11,6,University of Tennessee at Martin,Women
Hispanic,0,2,4,University of Tennessee at Martin,Women
Nat. Haw./PI,0,0,0,University of Tennessee at Martin,Women
US N-R,1,1,7,University of Tennessee at Martin,Women
Two or More,1,5,3,University of Tennessee at Martin,Women
Unknown,0,0,0,University of Tennessee at Martin,Women
White,10,6,37,University of Tennessee at Martin,Women
Total,15,26,57,University of Tennessee at Martin,Women
Am. Ind./AN,0,0,0,University of Texas at Arlington,Women
Asian,0,0,7,University of Texas at Arlington,Women
Black,12,11,3,University of Texas at Arlington,Women
Hispanic,1,6,14,University of Texas at Arlington,Women
Nat. Haw./PI,0,0,1,University of Texas at Arlington,Women
US N-R,1,8,9,University of Texas at Arlington,Women
Two or More,1,1,0,University of Texas at Arlington,Women
Unknown,0,0,0,University of Texas at Arlington,Women
White,0,5,19,University of Texas at Arlington,Women
Total,15,31,53,University of Texas at Arlington,Women
Am. Ind./AN,0,0,0,University of Texas at Austin,Women
Asian,0,0,3,University of Texas at Austin,Women
Black,7,12,7,University of Texas at Austin,Women
Hispanic,0,0,1,University of Texas at Austin,Women
Nat. Haw./PI,0,0,0,University of Texas at Austin,Women
US N-R,1,9,32,University of Texas at Austin,Women
Two or More,4,9,31,University of Texas at Austin,Women
Unknown,0,0,4,University of Texas at Austin,Women
White,3,15,87,University of Texas at Austin,Women
Total,15,45,165,University of Texas at Austin,Women
Am. Ind./AN,0,0,0,University of Texas at El Paso,Women
Asian,0,0,0,University of Texas at El Paso,Women
Black,7,1,4,University of Texas at El Paso,Women
Hispanic,1,4,37,University of Texas at El Paso,Women
Nat. Haw./PI,0,0,1,University of Texas at El Paso,Women
US N-R,6,12,22,University of Texas at El Paso,Women
Two or More,1,0,1,University of Texas at El Paso,Women
Unknown,0,1,4,University of Texas at El Paso,Women
White,0,0,16,University of Texas at El Paso,Women
Total,15,18,85,University of Texas at El Paso,Women
Am. Ind./AN,2,15,15,University of Texas at San Antonio,Women
Asian,0,0,0,University of Texas at San Antonio,Women
Black,0,0,1,University of Texas at San Antonio,Women
Hispanic,8,1,2,University of Texas at San Antonio,Women
Nat. Haw./PI,1,3,8,University of Texas at San Antonio,Women
US N-R,0,0,0,University of Texas at San Antonio,Women
Two or More,1,1,6,University of Texas at San Antonio,Women
Unknown,0,0,1,University of Texas at San Antonio,Women
White,1,1,38,University of Texas at San Antonio,Women
Total,13,21,71,University of Texas at San Antonio,Women
Am. Ind./AN,0,0,0,University of Toledo,Women
Asian,0,0,6,University of Toledo,Women
Black,3,7,2,University of Toledo,Women
Hispanic,1,2,5,University of Toledo,Women
Nat. Haw./PI,0,0,0,University of Toledo,Women
US N-R,2,7,13,University of Toledo,Women
Two or More,0,2,6,University of Toledo,Women
Unknown,0,0,5,University of Toledo,Women
White,7,22,69,University of Toledo,Women
Total,13,40,106,University of Toledo,Women
Am. Ind./AN,1,1,1,University of Utah,Women
Asian,0,0,5,University of Utah,Women
Black,2,4,9,University of Utah,Women
Hispanic,2,0,20,University of Utah,Women
Nat. Haw./PI,0,1,5,University of Utah,Women
US N-R,0,0,0,University of Utah,Women
Two or More,0,0,0,University of Utah,Women
Unknown,1,0,0,University of Utah,Women
White,7,27,93,University of Utah,Women
Total,13,33,133,University of Utah,Women
Am. Ind./AN,0,0,0,University of Vermont,Women
Asian,0,0,1,University of Vermont,Women
Black,0,0,0,University of Vermont,Women
Hispanic,0,0,5,University of Vermont,Women
Nat. Haw./PI,0,0,0,University of Vermont,Women
US N-R,6,0,23,University of Vermont,Women
Two or More,1,0,7,University of Vermont,Women
Unknown,0,0,3,University of Vermont,Women
White,5,2,77,University of Vermont,Women
Total,12,2,116,University of Vermont,Women
Am. Ind./AN,0,0,1,University of Virginia,Women
Asian,0,0,3,University of Virginia,Women
Black,6,8,8,University of Virginia,Women
Hispanic,0,0,3,University of Virginia,Women
Nat. Haw./PI,0,0,1,University of Virginia,Women
US N-R,1,4,17,University of Virginia,Women
Two or More,2,0,9,University of Virginia,Women
Unknown,0,0,4,University of Virginia,Women
White,1,17,126,University of Virginia,Women
Total,10,29,172,University of Virginia,Women
Am. Ind./AN,0,0,0,University of Washington,Women
Asian,0,1,11,University of Washington,Women
Black,4,5,14,University of Washington,Women
Hispanic,0,0,9,University of Washington,Women
Nat. Haw./PI,0,1,2,University of Washington,Women
US N-R,0,7,19,University of Washington,Women
Two or More,3,1,3,University of Washington,Women
Unknown,0,0,4,University of Washington,Women
White,5,21,66,University of Washington,Women
Total,12,36,128,University of Washington,Women
Am. Ind./AN,0,0,0,University of Wisconsin-Green Bay,Women
Asian,0,0,0,University of Wisconsin-Green Bay,Women
Black,0,0,0,University of Wisconsin-Green Bay,Women
Hispanic,0,0,2,University of Wisconsin-Green Bay,Women
Nat. Haw./PI,0,0,0,University of Wisconsin-Green Bay,Women
US N-R,0,0,4,University of Wisconsin-Green Bay,Women
Two or More,2,0,3,University of Wisconsin-Green Bay,Women
Unknown,0,0,0,University of Wisconsin-Green Bay,Women
White,9,11,47,University of Wisconsin-Green Bay,Women
Total,11,11,56,University of Wisconsin-Green Bay,Women
Am. Ind./AN,0,0,2,University of Wisconsin-Madison,Women
Asian,1,1,6,University of Wisconsin-Madison,Women
Black,3,5,10,University of Wisconsin-Madison,Women
Hispanic,2,1,7,University of Wisconsin-Madison,Women
Nat. Haw./PI,0,0,1,University of Wisconsin-Madison,Women
US N-R,1,4,19,University of Wisconsin-Madison,Women
Two or More,0,0,0,University of Wisconsin-Madison,Women
Unknown,0,0,4,University of Wisconsin-Madison,Women
White,9,22,134,University of Wisconsin-Madison,Women
Total,16,33,183,University of Wisconsin-Madison,Women
Am. Ind./AN,0,0,0,University of Wisconsin-Milwaukee,Women
Asian,0,2,4,University of Wisconsin-Milwaukee,Women
Black,4,3,4,University of Wisconsin-Milwaukee,Women
Hispanic,0,1,3,University of Wisconsin-Milwaukee,Women
Nat. Haw./PI,0,0,0,University of Wisconsin-Milwaukee,Women
US N-R,0,0,0,University of Wisconsin-Milwaukee,Women
Two or More,1,6,10,University of Wisconsin-Milwaukee,Women
Unknown,0,0,0,University of Wisconsin-Milwaukee,Women
White,10,29,79,University of Wisconsin-Milwaukee,Women
Total,15,41,100,University of Wisconsin-Milwaukee,Women
Am. Ind./AN,0,0,0,University of Wyoming,Women
Asian,0,0,2,University of Wyoming,Women
Black,0,0,0,University of Wyoming,Women
Hispanic,0,2,4,University of Wyoming,Women
Nat. Haw./PI,0,0,0,University of Wyoming,Women
US N-R,6,1,8,University of Wyoming,Women
Two or More,0,1,4,University of Wyoming,Women
Unknown,0,0,6,University of Wyoming,Women
White,8,18,70,University of Wyoming,Women
Total,14,22,94,University of Wyoming,Women
Am. Ind./AN,0,0,0,University of the Incarnate Word,Women
Asian,0,0,0,University of the Incarnate Word,Women
Black,5,8,8,University of the Incarnate Word,Women
Hispanic,2,16,43,University of the Incarnate Word,Women
Nat. Haw./PI,0,0,2,University of the Incarnate Word,Women
US N-R,2,1,17,University of the Incarnate Word,Women
Two or More,0,1,6,University of the Incarnate Word,Women
Unknown,1,1,2,University of the Incarnate Word,Women
White,5,5,34,University of the Incarnate Word,Women
Total,15,32,112,University of the Incarnate Word,Women
Am. Ind./AN,0,0,0,University of the Pacific,Women
Asian,0,0,9,University of the Pacific,Women
Black,5,2,4,University of the Pacific,Women
Hispanic,0,3,18,University of the Pacific,Women
Nat. Haw./PI,0,0,0,University of the Pacific,Women
US N-R,4,1,18,University of the Pacific,Women
Two or More,2,1,13,University of the Pacific,Women
Unknown,0,0,3,University of the Pacific,Women
White,4,4,36,University of the Pacific,Women
Total,15,11,101,University of the Pacific,Women
Am. Ind./AN,1,0,1,Utah State University,Women
Asian,0,0,1,Utah State University,Women
Black,0,0,0,Utah State University,Women
Hispanic,1,1,17,Utah State University,Women
Nat. Haw./PI,0,0,1,Utah State University,Women
US N-R,2,1,11,Utah State University,Women
Two or More,5,4,5,Utah State University,Women
Unknown,0,0,1,Utah State University,Women
White,5,36,51,Utah State University,Women
Total,14,42,88,Utah State University,Women
Am. Ind./AN,0,1,0,Utah Valley University,Women
Asian,1,0,0,Utah Valley University,Women
Black,0,2,2,Utah Valley University,Women
Hispanic,0,1,3,Utah Valley University,Women
Nat. Haw./PI,2,1,1,Utah Valley University,Women
US N-R,2,2,5,Utah Valley University,Women
Two or More,3,5,19,Utah Valley University,Women
Unknown,0,0,2,Utah Valley University,Women
White,6,39,43,Utah Valley University,Women
Total,14,51,75,Utah Valley University,Women
Am. Ind./AN,0,0,0,Valparaiso University,Women
Asian,0,0,3,Valparaiso University,Women
Black,3,2,1,Valparaiso University,Women
Hispanic,0,0,5,Valparaiso University,Women
Nat. Haw./PI,0,0,0,Valparaiso University,Women
US N-R,0,0,3,Valparaiso University,Women
Two or More,4,0,6,Valparaiso University,Women
Unknown,0,0,2,Valparaiso University,Women
White,6,8,75,Valparaiso University,Women
Total,13,10,95,Valparaiso University,Women
Am. Ind./AN,0,0,0,Vanderbilt University,Women
Asian,0,0,6,Vanderbilt University,Women
Black,5,9,2,Vanderbilt University,Women
Hispanic,0,1,8,Vanderbilt University,Women
Nat. Haw./PI,0,0,0,Vanderbilt University,Women
US N-R,1,1,8,Vanderbilt University,Women
Two or More,3,0,3,Vanderbilt University,Women
Unknown,0,0,0,Vanderbilt University,Women
White,2,9,60,Vanderbilt University,Women
Total,11,20,87,Vanderbilt University,Women
Am. Ind./AN,0,0,0,Villanova University,Women
Asian,0,0,1,Villanova University,Women
Black,3,4,6,Villanova University,Women
Hispanic,1,3,15,Villanova University,Women
Nat. Haw./PI,0,0,1,Villanova University,Women
US N-R,1,4,10,Villanova University,Women
Two or More,1,0,5,Villanova University,Women
Unknown,0,1,4,Villanova University,Women
White,7,7,154,Villanova University,Women
Total,13,19,196,Villanova University,Women
Am. Ind./AN,0,0,0,Virginia Commonwealth University,Women
Asian,0,0,3,Virginia Commonwealth University,Women
Black,5,23,5,Virginia Commonwealth University,Women
Hispanic,2,1,10,Virginia Commonwealth University,Women
Nat. Haw./PI,0,0,0,Virginia Commonwealth University,Women
US N-R,1,2,5,Virginia Commonwealth University,Women
Two or More,4,2,10,Virginia Commonwealth University,Women
Unknown,0,0,1,Virginia Commonwealth University,Women
White,3,8,66,Virginia Commonwealth University,Women
Total,15,36,100,Virginia Commonwealth University,Women
Am. Ind./AN,0,0,0,Virginia Military Institute,Women
Asian,0,0,0,Virginia Military Institute,Women
Black,0,7,0,Virginia Military Institute,Women
Hispanic,0,1,6,Virginia Military Institute,Women
Nat. Haw./PI,0,0,1,Virginia Military Institute,Women
US N-R,0,0,1,Virginia Military Institute,Women
Two or More,0,1,1,Virginia Military Institute,Women
Unknown,0,0,0,Virginia Military Institute,Women
White,0,13,37,Virginia Military Institute,Women
Total,0,22,46,Virginia Military Institute,Women
Am. Ind./AN,0,0,1,Virginia Polytechnic Institute and State University,Women
Asian,0,0,2,Virginia Polytechnic Institute and State University,Women
Black,0,0,3,Virginia Polytechnic Institute and State University,Women
Hispanic,1,2,4,Virginia Polytechnic Institute and State University,Women
Nat. Haw./PI,0,0,0,Virginia Polytechnic Institute and State University,Women
US N-R,2,5,14,Virginia Polytechnic Institute and State University,Women
Two or More,1,1,2,Virginia Polytechnic Institute and State University,Women
Unknown,3,2,5,Virginia Polytechnic Institute and State University,Women
White,3,7,101,Virginia Polytechnic Institute and State University,Women
Total,10,17,132,Virginia Polytechnic Institute and State University,Women
Am. Ind./AN,0,0,2,Wagner College,Women
Asian,0,0,3,Wagner College,Women
Black,9,4,5,Wagner College,Women
Hispanic,1,5,25,Wagner College,Women
Nat. Haw./PI,0,0,0,Wagner College,Women
US N-R,0,0,0,Wagner College,Women
Two or More,2,1,7,Wagner College,Women
Unknown,1,5,17,Wagner College,Women
White,2,18,125,Wagner College,Women
Total,15,33,184,Wagner College,Women
Am. Ind./AN,0,0,0,Wake Forest University,Women
Asian,0,0,3,Wake Forest University,Women
Black,7,0,5,Wake Forest University,Women
Hispanic,1,0,7,Wake Forest University,Women
Nat. Haw./PI,0,0,0,Wake Forest University,Women
US N-R,1,6,13,Wake Forest University,Women
Two or More,0,3,7,Wake Forest University,Women
Unknown,0,0,1,Wake Forest University,Women
White,1,11,46,Wake Forest University,Women
Total,10,20,82,Wake Forest University,Women
Am. Ind./AN,0,0,0,Washington State University,Women
Asian,0,0,1,Washington State University,Women
Black,0,1,5,Washington State University,Women
Hispanic,1,2,6,Washington State University,Women
Nat. Haw./PI,0,0,1,Washington State University,Women
US N-R,10,13,45,Washington State University,Women
Two or More,1,3,9,Washington State University,Women
Unknown,0,0,2,Washington State University,Women
White,2,13,45,Washington State University,Women
Total,14,32,114,Washington State University,Women
Am. Ind./AN,0,0,0,Weber State University,Women
Asian,0,0,4,Weber State University,Women
Black,5,2,0,Weber State University,Women
Hispanic,1,0,5,Weber State University,Women
Nat. Haw./PI,1,0,4,Weber State University,Women
US N-R,4,2,6,Weber State University,Women
Two or More,0,6,6,Weber State University,Women
Unknown,0,0,0,Weber State University,Women
White,4,28,60,Weber State University,Women
Total,15,38,85,Weber State University,Women
Am. Ind./AN,0,0,0,West Virginia University,Women
Asian,0,0,2,West Virginia University,Women
Black,6,0,5,West Virginia University,Women
Hispanic,0,0,3,West Virginia University,Women
Nat. Haw./PI,0,0,0,West Virginia University,Women
US N-R,2,9,14,West Virginia University,Women
Two or More,0,0,10,West Virginia University,Women
Unknown,0,0,1,West Virginia University,Women
White,1,5,75,West Virginia University,Women
Total,9,14,110,West Virginia University,Women
Am. Ind./AN,0,1,1,Western Carolina University,Women
Asian,0,0,0,Western Carolina University,Women
Black,8,12,1,Western Carolina University,Women
Hispanic,0,0,1,Western Carolina University,Women
Nat. Haw./PI,0,0,0,Western Carolina University,Women
US N-R,1,2,18,Western Carolina University,Women
Two or More,1,1,1,Western Carolina University,Women
Unknown,0,0,0,Western Carolina University,Women
White,5,18,45,Western Carolina University,Women
Total,15,34,67,Western Carolina University,Women
Am. Ind./AN,0,0,0,Western Illinois University,Women
Asian,0,0,1,Western Illinois University,Women
Black,0,10,2,Western Illinois University,Women
Hispanic,1,2,7,Western Illinois University,Women
Nat. Haw./PI,0,0,0,Western Illinois University,Women
US N-R,0,9,16,Western Illinois University,Women
Two or More,1,0,5,Western Illinois University,Women
Unknown,0,1,1,Western Illinois University,Women
White,10,14,47,Western Illinois University,Women
Total,12,36,79,Western Illinois University,Women
Am. Ind./AN,0,0,0,Western Kentucky University,Women
Asian,0,0,0,Western Kentucky University,Women
Black,5,2,3,Western Kentucky University,Women
Hispanic,1,1,2,Western Kentucky University,Women
Nat. Haw./PI,0,0,1,Western Kentucky University,Women
US N-R,3,3,9,Western Kentucky University,Women
Two or More,2,0,2,Western Kentucky University,Women
Unknown,0,1,0,Western Kentucky University,Women
White,1,13,62,Western Kentucky University,Women
Total,12,20,79,Western Kentucky University,Women
Am. Ind./AN,0,0,0,Western Michigan University,Women
Asian,0,0,2,Western Michigan University,Women
Black,1,7,5,Western Michigan University,Women
Hispanic,0,0,3,Western Michigan University,Women
Nat. Haw./PI,0,0,0,Western Michigan University,Women
US N-R,3,0,6,Western Michigan University,Women
Two or More,2,2,8,Western Michigan University,Women
Unknown,0,0,0,Western Michigan University,Women
White,7,15,72,Western Michigan University,Women
Total,13,24,96,Western Michigan University,Women
Am. Ind./AN,0,0,0,Wichita State University,Women
Asian,0,0,0,Wichita State University,Women
Black,1,1,0,Wichita State University,Women
Hispanic,0,1,0,Wichita State University,Women
Nat. Haw./PI,0,0,0,Wichita State University,Women
US N-R,0,1,0,Wichita State University,Women
Two or More,1,2,2,Wichita State University,Women
Unknown,0,0,1,Wichita State University,Women
White,0,2,5,Wichita State University,Women
Total,2,7,8,Wichita State University,Women
Am. Ind./AN,0,0,0,William & Mary,Women
Asian,0,0,12,William & Mary,Women
Black,6,6,5,William & Mary,Women
Hispanic,0,3,7,William & Mary,Women
Nat. Haw./PI,0,0,0,William & Mary,Women
US N-R,1,1,0,William & Mary,Women
Two or More,3,3,0,William & Mary,Women
Unknown,1,1,2,William & Mary,Women
White,4,15,107,William & Mary,Women
Total,15,29,133,William & Mary,Women
Am. Ind./AN,0,0,1,Winthrop University,Women
Asian,0,0,0,Winthrop University,Women
Black,9,14,7,Winthrop University,Women
Hispanic,1,1,10,Winthrop University,Women
Nat. Haw./PI,0,1,0,Winthrop University,Women
US N-R,2,3,8,Winthrop University,Women
Two or More,0,3,4,Winthrop University,Women
Unknown,0,0,0,Winthrop University,Women
White,2,11,67,Winthrop University,Women
Total,14,33,97,Winthrop University,Women
Am. Ind./AN,0,0,0,Wofford College,Women
Asian,0,0,0,Wofford College,Women
Black,1,4,0,Wofford College,Women
Hispanic,1,0,4,Wofford College,Women
Nat. Haw./PI,0,0,0,Wofford College,Women
US N-R,4,5,8,Wofford College,Women
Two or More,1,1,2,Wofford College,Women
Unknown,0,0,0,Wofford College,Women
White,6,7,48,Wofford College,Women
Total,13,17,62,Wofford College,Women
Am. Ind./AN,0,0,0,Wright State University,Women
Asian,0,0,0,Wright State University,Women
Black,2,3,2,Wright State University,Women
Hispanic,0,1,0,Wright State University,Women
Nat. Haw./PI,0,0,0,Wright State University,Women
US N-R,1,0,1,Wright State University,Women
Two or More,2,1,8,Wright State University,Women
Unknown,0,0,0,Wright State University,Women
White,10,28,51,Wright State University,Women
Total,15,33,62,Wright State University,Women
Am. Ind./AN,0,0,1,Xavier University,Women
Asian,0,0,2,Xavier University,Women
Black,5,3,8,Xavier University,Women
Hispanic,2,2,4,Xavier University,Women
Nat. Haw./PI,0,0,0,Xavier University,Women
US N-R,3,0,2,Xavier University,Women
Two or More,2,0,8,Xavier University,Women
Unknown,1,0,2,Xavier University,Women
White,2,18,99,Xavier University,Women
Total,15,23,126,Xavier University,Women
Am. Ind./AN,0,0,0,Yale University,Women
Asian,0,0,0,Yale University,Women
Black,0,0,0,Yale University,Women
Hispanic,0,0,0,Yale University,Women
Nat. Haw./PI,0,0,0,Yale University,Women
US N-R,0,0,0,Yale University,Women
Two or More,0,0,0,Yale University,Women
Unknown,0,0,0,Yale University,Women
White,0,0,0,Yale University,Women
Total,0,0,0,Yale University,Women
Am. Ind./AN,0,0,0,Youngstown State University,Women
Asian,0,0,2,Youngstown State University,Women
Black,1,9,5,Youngstown State University,Women
Hispanic,0,2,5,Youngstown State University,Women
Nat. Haw./PI,0,0,0,Youngstown State University,Women
US N-R,0,4,26,Youngstown State University,Women
Two or More,1,0,2,Youngstown State University,Women
Unknown,0,0,0,Youngstown State University,Women
White,12,31,113,Youngstown State University,Women
Total,14,46,153,Youngstown State University,Women
